actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[흥미진진한 음악],00:00:43,00:00:43,00:00:43
설명,[남자1의 아파하는 신음] [우두둑 소리가 난다],00:00:56,00:00:56,00:00:56
빈센조,[이탈리아어] 잠깐!,00:00:58,00:00:58,00:00:58
설명,[남자1의 힘겨운 신음],00:01:00,00:01:00,00:01:00
설명,[남자1의 비명],00:01:05,00:01:05,00:01:05
설명,[남자1이 쿵 떨어진다],00:01:06,00:01:06,00:01:06
미리,[한국어] 변호사님,00:01:18,00:01:18,00:01:18
미리,두 분 괜찮아요?,00:01:20,00:01:20,00:01:20
미리,왜 안 갔어요?,00:01:22,00:01:22,00:01:22
미리,다른 방법으로 해결했어요,00:01:24,00:01:24,00:01:24
빈센조,"아, 그리고",00:01:28,00:01:28,00:01:28
빈센조,인자기 모이 주는 걸 깜빡해 가지고,00:01:30,00:01:30,00:01:30
설명,[조 사장의 웃음],00:01:32,00:01:32,00:01:32
설명,[픽 웃는다],00:01:34,00:01:34,00:01:34
설명,[조 사장의 한숨],00:01:35,00:01:35,00:01:35
빈센조,아무튼 뒤로 물러나 있어요,00:01:37,00:01:37,00:01:37
김 실장,혹시 빈센조 까사노?,00:01:39,00:01:39,00:01:39
김 실장,"뭐, 그건 알 거 없고",00:01:42,00:01:42,00:01:42
설명,[라이터를 달칵거린다],00:01:44,00:01:44,00:01:44
김 실장,5분 안에 속성으로 대가 좀 치러 보자,00:01:45,00:01:45,00:01:45
김 실장,쟤 빨리 데려와라,00:01:57,00:01:57,00:01:57
설명,[강렬한 음악],00:01:58,00:01:58,00:01:58
설명,[조 사장의 성난 신음],00:02:09,00:02:09,00:02:09
김 실장,"아유, 많아, 아유",00:02:21,00:02:21,00:02:21
설명,[소란스럽게 싸운다],00:02:22,00:02:22,00:02:22
설명,[차영과 미리의 비명],00:02:32,00:02:32,00:02:32
설명,[빈센조의 힘겨운 신음],00:03:07,00:03:07,00:03:07
설명,[차영과 미리의 놀란 신음],00:03:09,00:03:09,00:03:09
차영,"어떡해, 어떡해",00:03:10,00:03:10,00:03:10
차영,"하지 마, 하지 마 [빈센조의 힘겨운 신음]",00:03:12,00:03:12,00:03:12
홍식,[이탈리아어] 잠깐!,00:03:15,00:03:15,00:03:15
설명,[세입자들이 이탈리아어로 외친다],00:03:17,00:03:17,00:03:17
설명,[흥미진진한 음악],00:03:19,00:03:19,00:03:19
설명,[이탈리아어로 말한다],00:03:27,00:03:27,00:03:27
김 실장,"[한국어] 아이, 저건 또 뭐야?",00:03:31,00:03:31,00:03:31
설명,[소란스럽게 싸운다],00:03:34,00:03:34,00:03:34
설명,[리드미컬한 음악],00:03:35,00:03:35,00:03:35
빈센조,어이구,00:03:38,00:03:38,00:03:38
설명,[의미심장한 효과음],00:03:45,00:03:45,00:03:45
설명,[철욱의 기합],00:03:59,00:03:59,00:03:59
설명,[연진의 기합],00:04:07,00:04:07,00:04:07
설명,[거친 숨소리],00:04:10,00:04:10,00:04:10
설명,[영호의 힘주는 신음],00:04:32,00:04:32,00:04:32
설명,[토토의 기합],00:04:56,00:04:56,00:04:56
설명,[의미심장한 효과음],00:05:00,00:05:00,00:05:00
기석,이크! 에크!,00:05:02,00:05:02,00:05:02
기석,에크! 와!,00:05:03,00:05:03,00:05:03
설명,[남자2를 퍽퍽 때린다],00:05:06,00:05:06,00:05:06
설명,[남자3을 퍽퍽 때린다],00:05:19,00:05:19,00:05:19
석도,아유!,00:05:30,00:05:30,00:05:30
설명,[석도의 기합],00:05:31,00:05:31,00:05:31
설명,[남자4의 비명] [우두둑 소리가 난다],00:05:32,00:05:32,00:05:32
설명,[석도의 기합],00:05:36,00:05:36,00:05:36
설명,[힘주는 신음],00:05:46,00:05:46,00:05:46
