actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[의미심장한 음악],00:00:43,00:00:43,00:00:43
경찰,먼저 쏴 봐,00:00:46,00:00:46,00:00:46
인터폴 경찰,빈센조 까사노!,00:00:54,00:00:54,00:00:54
설명,[문이 철컥 열린다],00:00:56,00:00:56,00:00:56
인터폴 경찰,[이탈리아어] 인터폴이다,00:01:04,00:01:04,00:01:04
인터폴 경찰,너를 체포 및 본국으로 송환하기 위해 왔다,00:01:05,00:01:05,00:01:05
경찰1,[한국어] 총 버리세요,00:01:09,00:01:09,00:01:09
경찰1,빈센조 까사노 씨,00:01:11,00:01:11,00:01:11
설명,[총성],00:01:27,00:01:27,00:01:27
설명,[분위기가 고조되는 음악],00:01:51,00:01:51,00:01:51
설명,[떨리는 숨소리],00:02:39,00:02:39,00:02:39
경찰1,"오, 오지 마, 오지 마! 오지 마, 오지 마, 오지 마",00:02:51,00:02:51,00:02:51
설명,[한서의 떨리는 숨소리],00:02:54,00:02:54,00:02:54
설명,[긴장되는 음악],00:03:04,00:03:04,00:03:04
설명,[총이 철컥거린다],00:03:06,00:03:06,00:03:06
설명,[거친 숨소리],00:03:12,00:03:12,00:03:12
설명,[떨리는 숨소리],00:03:17,00:03:17,00:03:17
설명,[거친 숨소리],00:03:25,00:03:25,00:03:25
경찰1,[이탈리아어] 다들 총 내려놔,00:03:34,00:03:34,00:03:34
설명,[총성],00:03:40,00:03:40,00:03:40
빈센조,[한국어] 김인용 씨?,00:03:51,00:03:51,00:03:51
설명,[경찰2의 떨리는 숨소리],00:03:52,00:03:52,00:03:52
빈센조,백경수 씨?,00:03:53,00:03:53,00:03:53
경찰1,예,00:03:55,00:03:55,00:03:55
경찰1,상관한테 가서 전해,00:03:56,00:03:56,00:03:56
경찰1,나한테 혐의 입증이 불가능해서 인터폴 그냥 돌아갔다고,00:03:58,00:03:58,00:03:58
빈센조,그리고,00:04:01,00:04:01,00:04:01
빈센조,"이 시신들 처리해, 알았어?",00:04:03,00:04:03,00:04:03
경찰2,예,00:04:05,00:04:05,00:04:05
경찰2,내 말 따르지 않으면 당신들은 이틀 내로 죽어,00:04:06,00:04:06,00:04:06
경찰2,"백경수, 알아들었어?",00:04:10,00:04:10,00:04:10
경찰1,예,00:04:12,00:04:12,00:04:12
경찰1,쯧,00:04:12,00:04:12,00:04:12
경찰1,그리고 너도 돌아가서 전해,00:04:22,00:04:22,00:04:22
경찰1,제발 이딴 짓 하지 말고 죽을 날 기다리라고,00:04:24,00:04:24,00:04:24
경찰1,"예, 알겠습니다, 예",00:04:28,00:04:28,00:04:28
설명,[떨리는 숨소리],00:04:36,00:04:36,00:04:36
경찰1,"가, 가 보겠습니다",00:04:41,00:04:41,00:04:41
빈센조,"아, 그냥 보낼 순 없지",00:04:46,00:04:46,00:04:46
빈센조,너도 애피타이저,00:04:50,00:04:50,00:04:50
설명,[총성] [힘겨운 신음],00:04:52,00:04:52,00:04:52
한서,그 순간 정말 죽는 줄 알았어요,00:04:55,00:04:55,00:04:55
설명,[한숨],00:04:57,00:04:57,00:04:57
승혁,저한테는 인터폴이 빈센조 쉽게 잡게 한다고,00:04:58,00:04:58,00:04:58
승혁,유인만 한다고 하셨잖아요?,00:05:01,00:05:01,00:05:01
승혁,"예, 그랬죠",00:05:03,00:05:03,00:05:03
승혁,총은 또 어디서 났어?,00:05:06,00:05:06,00:05:06
한서,"아, 그게",00:05:08,00:05:08,00:05:08
한서,빈센조를 죽이려고,00:05:11,00:05:11,00:05:11
한서,한 자루 구입했습니다,00:05:13,00:05:13,00:05:13
명희,지검장님이 인터폴을 개입시켰는데,00:05:16,00:05:16,00:05:16
명희,왜 굳이 죽이려고 했습니까?,00:05:20,00:05:20,00:05:20
명희,최 변호사님 혹시 바보예요?,00:05:22,00:05:22,00:05:22
한서,"빈센조는 마피아예요, 마피아",00:05:25,00:05:25,00:05:25
한서,가서 사형 선고 안 받으면,00:05:29,00:05:29,00:05:29
한서,또 분명히 돌아와서 우릴 죽이려고 하겠죠? 응?,00:05:30,00:05:30,00:05:30
한서,완전 헛똑똑이,00:05:33,00:05:33,00:05:33
설명,[한서의 아파하는 신음],00:05:35,00:05:35,00:05:35
준우,아이스 링크에 빈센조 부하들도 있었던 거야?,00:05:37,00:05:37,00:05:37
한서,예,00:05:40,00:05:40,00:05:40
설명,[의미심장한 음악],00:05:42,00:05:42,00:05:42
한서,다섯 명이나 숨겨 놨더라고요,00:05:43,00:05:43,00:05:43
한서,지독한 놈,00:05:44,00:05:44,00:05:44
한서,그러니까 결국 완벽하게 당한 거네?,00:05:46,00:05:46,00:05:46
한서,분하지만,00:05:49,00:05:49,00:05:49
한서,"그렇습니다, 형님",00:05:52,00:05:52,00:05:52
한서,인터폴이 체포하러 간다는 걸 알았나?,00:05:54,00:05:54,00:05:54
한서,부하들을 숨겨 놓은 걸 보면,00:05:58,00:05:58,00:05:58
한서,"아, 그건",00:06:00,00:06:00,00:06:00
한서,저도 잘 모르겠습니다,00:06:06,00:06:06,00:06:06
설명,[숨을 들이켠다],00:06:09,00:06:09,00:06:09
한서,마피아 버릇대로 부하들을 늘렸나?,00:06:11,00:06:11,00:06:11
한서,"예, 아마도, 예",00:06:14,00:06:14,00:06:14
한서,그런 것 같습니다,00:06:16,00:06:16,00:06:16
한서,죽기 싫으면 함부로 총질하고 다니지 마,00:06:20,00:06:20,00:06:20
준우,"가죠, 최 변",00:06:24,00:06:24,00:06:24
한서,"가요, 최 변",00:06:26,00:06:26,00:06:26
한서,"바쁘시니까 병문안들 오지 마시고요, 예",00:06:30,00:06:30,00:06:30
설명,[문이 드르륵 열린다],00:06:33,00:06:33,00:06:33
설명,[한숨],00:06:34,00:06:34,00:06:34
설명,[문이 드르륵 닫힌다],00:06:36,00:06:36,00:06:36
설명,[힘겨운 신음],00:06:37,00:06:37,00:06:37
한서,"회장님, 뭐 있죠?",00:06:39,00:06:39,00:06:39
한서,"아휴, 있긴 뭐가 있어요",00:06:40,00:06:40,00:06:40
한서,총알 자국이나 있지,00:06:41,00:06:41,00:06:41
한서,저한테 솔직하셔야 됩니다,00:06:43,00:06:43,00:06:43
한서,"어휴, 왜 이래, 우리 사이에",00:06:45,00:06:45,00:06:45
한서,"나 손이나 한번 잡아 줘요, 너무 아파",00:06:49,00:06:49,00:06:49
설명,[한숨],00:06:52,00:06:52,00:06:52
한서,"아, 아, 너무",00:06:53,00:06:53,00:06:53
한서,나중에 연락드릴게요,00:06:55,00:06:55,00:06:55
한서,"어유, 어디 가?",00:06:56,00:06:56,00:06:56
명희,지검장 되시자마자 [승혁의 놀란 신음],00:07:04,00:07:04,00:07:04
명희,한 일이 고작 이거입니까?,00:07:06,00:07:06,00:07:06
설명,[멋쩍은 웃음],00:07:08,00:07:08,00:07:08
명희,"뭐, 일이라는 게",00:07:10,00:07:10,00:07:10
명희,"뭐, 잘할 때도 있고 또 실패할 때도 있고 그런 거죠",00:07:12,00:07:12,00:07:12
명희,"어떻게, 직접 해 보시니까 쉽습디까?",00:07:16,00:07:16,00:07:16
명희,"뭐, 한 번만 더 해 보면 마스터할 것 같기도 하고요",00:07:20,00:07:20,00:07:20
명희,현재 가장 큰 일이 뭔지 아십니까?,00:07:23,00:07:23,00:07:23
설명,[의미심장한 음악],00:07:26,00:07:26,00:07:26
승혁,글쎄요,00:07:28,00:07:28,00:07:28
명희,우리 지검장님도,00:07:29,00:07:29,00:07:29
명희,빈센조 살생부 끄트머리에,00:07:31,00:07:31,00:07:31
명희,이름을 살짝 올리셨다는 거죠,00:07:34,00:07:34,00:07:34
명희,가만있었으면,00:07:37,00:07:37,00:07:37
명희,"이, 모가지는 온전했을 텐데",00:07:38,00:07:38,00:07:38
명희,"그, 인터폴 한 번 불렀다고 무슨 살생부까지 올라…",00:07:41,00:07:41,00:07:41
