actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[긴장되는 음악],00:00:43,00:00:43,00:00:43
설명,[총성],00:00:47,00:00:47,00:00:47
설명,[의미심장한 음악],00:00:51,00:00:51,00:00:51
설명,[빈센조의 놀란 신음] [차영의 힘겨운 신음],00:01:29,00:01:29,00:01:29
설명,[힘겨운 숨소리],00:01:33,00:01:33,00:01:33
준우,안 돼,00:01:48,00:01:48,00:01:48
준우,안 돼,00:01:50,00:01:50,00:01:50
설명,[한서의 떨리는 숨소리],00:01:51,00:01:51,00:01:51
설명,[분위기가 고조되는 음악],00:01:53,00:01:53,00:01:53
설명,[거친 숨소리],00:01:54,00:01:54,00:01:54
설명,[떨리는 숨소리],00:02:00,00:02:00,00:02:00
설명,[거친 숨소리],00:02:11,00:02:11,00:02:11
설명,[한서의 거친 숨소리],00:02:25,00:02:25,00:02:25
설명,[한서의 거친 숨소리],00:02:30,00:02:30,00:02:30
빈센조,변호사님,00:02:31,00:02:31,00:02:31
설명,[차영의 힘겨운 숨소리],00:02:32,00:02:32,00:02:32
빈센조,변호사님,00:02:35,00:02:35,00:02:35
설명,[준우의 성난 신음],00:02:38,00:02:38,00:02:38
빈센조,이제 제발 그만 좀 하라고,00:02:41,00:02:41,00:02:41
빈센조,놔,00:02:44,00:02:44,00:02:44
빈센조,넌 진짜,00:02:48,00:02:48,00:02:48
한서,태어나지 말았어야 했어,00:02:51,00:02:51,00:02:51
한서,[준우의 웃음] 절대로,00:02:53,00:02:53,00:02:53
한서,이 쓰레기 새끼야,00:02:56,00:02:56,00:02:56
설명,[총성],00:03:02,00:03:02,00:03:02
설명,[의미심장한 음악],00:03:07,00:03:07,00:03:07
한서,장한서,00:03:31,00:03:31,00:03:31
빈센조,[한서의 힘겨운 숨소리] 장…,00:03:33,00:03:33,00:03:33
설명,[빈센조의 거친 숨소리],00:03:40,00:03:40,00:03:40
설명,[방아쇠를 달칵 누른다],00:03:43,00:03:43,00:03:43
설명,[방아쇠를 달칵 누른다],00:03:49,00:03:49,00:03:49
설명,[준우가 쿵 떨어진다],00:04:02,00:04:02,00:04:02
설명,[준우의 힘겨운 신음],00:04:05,00:04:05,00:04:05
설명,[성난 신음],00:04:12,00:04:12,00:04:12
설명,[성난 신음],00:04:16,00:04:16,00:04:16
설명,[통화 연결음],00:04:26,00:04:26,00:04:26
빈센조,상운구 연서동 498 [차분한 음악],00:04:27,00:04:27,00:04:27
빈센조,총상 환자 두 명입니다 빨리 와 주세요,00:04:31,00:04:31,00:04:31
설명,[빈센조가 휴대전화를 탁 떨어뜨린다],00:04:33,00:04:33,00:04:33
빈센조,변호사님,00:04:34,00:04:34,00:04:34
차영,"저, 저기…",00:04:35,00:04:35,00:04:35
한서,형,00:04:39,00:04:39,00:04:39
설명,[한서의 힘겨운 신음],00:04:41,00:04:41,00:04:41
설명,[한서의 힘겨운 신음],00:04:46,00:04:46,00:04:46
설명,[빈센조의 거친 숨소리],00:04:49,00:04:49,00:04:49
한서,괜찮아?,00:04:51,00:04:51,00:04:51
한서,괜찮아요,00:04:54,00:04:54,00:04:54
한서,나 잘했죠?,00:04:58,00:04:58,00:04:58
한서,잘했어,00:05:00,00:05:00,00:05:00
한서,내 동생 자격 있어,00:05:02,00:05:02,00:05:02
설명,[잔잔한 음악] [한서의 힘겨운 신음],00:05:04,00:05:04,00:05:04
설명,[빈센조의 힘주는 숨소리],00:05:05,00:05:05,00:05:05
한서,태어나서 처음으로,00:05:10,00:05:10,00:05:10
한서,사람 노릇 했네,00:05:16,00:05:16,00:05:16
설명,[한서의 힘겨운 신음],00:05:17,00:05:17,00:05:17
설명,[쿨럭거린다],00:05:19,00:05:19,00:05:19
설명,[한서의 힘겨운 신음],00:05:23,00:05:23,00:05:23
한서,형,00:05:25,00:05:25,00:05:25
설명,[한서의 힘겨운 신음],00:05:27,00:05:27,00:05:27
한서,이거 알죠?,00:05:30,00:05:30,00:05:30
한서,고마워요,00:05:38,00:05:38,00:05:38
한서,고마웠어요,00:05:43,00:05:43,00:05:43
설명,[타이어 마찰음],00:06:54,00:06:54,00:06:54
설명,[어두운 음악],00:06:58,00:06:58,00:06:58
설명,[한숨],00:07:10,00:07:10,00:07:10
