actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[차분한 음악],00:00:43,00:00:43,00:00:43
빈센조,놀랐잖아요,00:01:09,00:01:09,00:01:09
빈센조,핸드폰은 뒀다 뭐 해요?,00:01:12,00:01:12,00:01:12
빈센조,문명의 이기 좀 쓰면 덧나요?,00:01:14,00:01:14,00:01:14
빈센조,"위험해질까 봐 그랬어요, 미안해요",00:01:17,00:01:17,00:01:17
빈센조,위험하면 어때요,00:01:19,00:01:19,00:01:19
빈센조,파트너끼리,00:01:21,00:01:21,00:01:21
빈센조,같이 위험도 공유해야죠,00:01:23,00:01:23,00:01:23
차영,진짜 빡쳐!,00:01:26,00:01:26,00:01:26
빈센조,변호사님 [의미심장한 음악],00:01:28,00:01:28,00:01:28
빈센조,바벨의 진짜 보스,00:01:30,00:01:30,00:01:30
빈센조,알아냈어요,00:01:33,00:01:33,00:01:33
빈센조,정말요?,00:01:36,00:01:36,00:01:36
빈센조,예,00:01:37,00:01:37,00:01:37
빈센조,진짜 보스가 누군데요?,00:01:56,00:01:56,00:01:56
빈센조,회장님이 누굴 말하는 거야?,00:01:59,00:01:59,00:01:59
빈센조,몰라,00:02:01,00:02:01,00:02:01
설명,[킬러1의 비명],00:02:04,00:02:04,00:02:04
빈센조,장한석,00:02:07,00:02:07,00:02:07
빈센조,장한석,00:02:09,00:02:09,00:02:09
빈센조,장한석 미국에서 은둔하며 살고 있다 그랬잖아요,00:02:12,00:02:12,00:02:12
빈센조,아니요,00:02:16,00:02:16,00:02:16
빈센조,뒤에서 다 지시해 왔던 거였어요,00:02:18,00:02:18,00:02:18
빈센조,전화 한번 해 보죠,00:02:26,00:02:26,00:02:26
설명,[통화 연결음],00:02:30,00:02:30,00:02:30
설명,[분위기가 고조되는 음악],00:02:32,00:02:32,00:02:32
설명,[휴대전화 진동음],00:02:37,00:02:37,00:02:37
준우,"어, 선배, 여기, 여기, 여기",00:02:44,00:02:44,00:02:44
설명,[휴대전화 진동음],00:02:46,00:02:46,00:02:46
설명,[통화 연결음],00:03:02,00:03:02,00:03:02
설명,[긴장되는 음악],00:03:05,00:03:05,00:03:05
준우,전화 온 거 아니에요?,00:03:14,00:03:14,00:03:14
