actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[의미심장한 음악] [카메라 셔터음이 연신 울린다],00:00:43,00:00:43,00:00:43
빈센조,5,00:00:47,00:00:47,00:00:47
빈센조,4,00:00:49,00:00:49,00:00:49
빈센조,3,00:00:51,00:00:51,00:00:51
빈센조,2,00:00:53,00:00:53,00:00:53
빈센조,1,00:00:55,00:00:55,00:00:55
설명,[빈센조가 손가락을 딱 튀긴다],00:00:56,00:00:56,00:00:56
설명,[사람들의 비명],00:00:59,00:00:59,00:00:59
설명,[사람들의 비명],00:01:08,00:01:08,00:01:08
설명,[강렬한 음악],00:01:12,00:01:12,00:01:12
차영,"[빈센조의 웃음] 와, 대박",00:01:27,00:01:27,00:01:27
설명,[차영의 웃음],00:01:29,00:01:29,00:01:29
차영,어머,00:01:32,00:01:32,00:01:32
차영,60년대 마피아가 된 기분이에요,00:01:33,00:01:33,00:01:33
설명,[빈센조가 픽 웃는다],00:01:36,00:01:36,00:01:36
설명,[차영의 탄성과 박수],00:01:38,00:01:38,00:01:38
빈센조,마음껏 느껴 봐요,00:01:40,00:01:40,00:01:40
빈센조,진짜 악당의 기분을,00:01:42,00:01:42,00:01:42
설명,[사람들이 소란스럽다],00:01:43,00:01:43,00:01:43
설명,[준우의 거친 숨소리] [의미심장한 음악],00:01:46,00:01:46,00:01:46
설명,[거친 숨소리],00:01:50,00:01:50,00:01:50
설명,[거친 숨소리],00:01:55,00:01:55,00:01:55
빈센조,브라보!,00:01:58,00:01:58,00:01:58
차영,브라보! [흥미진진한 음악],00:02:00,00:02:00,00:02:00
차영,앙코르!,00:02:02,00:02:02,00:02:02
설명,[빈센조의 환호성],00:02:04,00:02:04,00:02:04
설명,[차영의 환호성],00:02:05,00:02:05,00:02:05
차영,응원합니다!,00:02:06,00:02:06,00:02:06
설명,[웃음],00:02:09,00:02:09,00:02:09
설명,[빈센조와 차영의 박수],00:02:15,00:02:15,00:02:15
설명,[사람들이 소란스럽다],00:02:18,00:02:18,00:02:18
설명,[한서의 놀란 신음],00:02:25,00:02:25,00:02:25
한서,"야, 빨리 회장님 모시고 나와!",00:02:28,00:02:28,00:02:28
한서,"빨리, 이 새끼들아",00:02:30,00:02:30,00:02:30
경호원1,"회장님, 괜찮으십니까?",00:02:31,00:02:31,00:02:31
설명,[박수],00:02:32,00:02:32,00:02:32
경호원1,"빨리, 빨리 모셔",00:02:33,00:02:33,00:02:33
경호원2,"조심, 조심, 조심하세요",00:02:34,00:02:34,00:02:34
경호원1,"조심, 조심해, 조심",00:02:35,00:02:35,00:02:35
설명,[헛웃음],00:02:36,00:02:36,00:02:36
경호원3,사진 찍지 마세요!,00:02:37,00:02:37,00:02:37
한서,"빨리 나와, 빨리 나와!",00:02:37,00:02:37,00:02:37
경호원4,안쪽으로 모시겠습니다,00:02:39,00:02:39,00:02:39
경호원2,"조심, 조심!",00:02:39,00:02:39,00:02:39
한서,"비켜! 야, 빨리!",00:02:41,00:02:41,00:02:41
설명,[경호원들이 계속 소리친다],00:02:46,00:02:46,00:02:46
설명,[빈센조의 힘겨운 신음],00:02:48,00:02:48,00:02:48
설명,[차영이 입소리를 쪽 낸다],00:02:50,00:02:50,00:02:50
경호원3,찍지 마세요!,00:02:50,00:02:50,00:02:50
설명,[살짝 웃는다],00:02:53,00:02:53,00:02:53
한서,"야, 빨리빨리 길 만들어",00:03:01,00:03:01,00:03:01
한서,"좀 잘 덮어 드리고, 어?",00:03:02,00:03:02,00:03:02
한서,"자, 앞에 빨리 움직여",00:03:04,00:03:04,00:03:04
한서,"저, 뭐야, 저 앞에 [경호원5가 말한다]",00:03:05,00:03:05,00:03:05
한서,"앞에 뭐냐, 아이, 진짜, 씨",00:03:06,00:03:06,00:03:06
한서,"아, 이거 뭐야?",00:03:08,00:03:08,00:03:08
수사관,남동부지검에서 나왔습니다 [카메라 셔터음이 연신 울린다],00:03:09,00:03:09,00:03:09
수사관,장한석 회장님,00:03:12,00:03:12,00:03:12
수사관,당신을 노조 와해 지시 혐의로 긴급 체포 합니다,00:03:13,00:03:13,00:03:13
수사관,당신은 묵비권을 행사할 권리가 있고…,00:03:15,00:03:15,00:03:15
한서,"아이, 묵비권이고 나발이고 지금 증거도 없이 뭐 하는 거야?",00:03:17,00:03:17,00:03:17
한서,증거는 아까 강연회장 스크린에 다 뜬 거 같은데요,00:03:19,00:03:19,00:03:19
명희,그까짓 게 무슨 증거라고!,00:03:21,00:03:21,00:03:21
설명,[의미심장한 음악],00:03:24,00:03:24,00:03:24
설명,[명희의 놀란 숨소리],00:03:26,00:03:26,00:03:26
명희,확증이 있어야죠,00:03:32,00:03:32,00:03:32
명희,사진 찍지 마!,00:03:35,00:03:35,00:03:35
명희,싹 다 고소해 버릴 거야,00:03:36,00:03:36,00:03:36
명희,회장님과 동행합니다,00:03:45,00:03:45,00:03:45
명희,나 알죠?,00:03:48,00:03:48,00:03:48
명희,가시죠,00:03:55,00:03:55,00:03:55
한서,"자, 자, 빨리빨리 움직여요, 자",00:03:56,00:03:56,00:03:56
한서,"최 이사, 언론부터 연락해 기자들 통제하고",00:03:58,00:03:58,00:03:58
한서,"자, 빨리 움직여, 자, 일들 해, 일들!",00:04:00,00:04:00,00:04:00
한서,"아유, 씨, 왜 사진들을 찍고 그래",00:04:02,00:04:02,00:04:02
승혁,"아니, 이분들을 연행하면 어떡합니까?",00:04:09,00:04:09,00:04:09
승혁,여기 얘들을 처넣어야죠!,00:04:12,00:04:12,00:04:12
승혁,어디 돼지 피를 막 갖다 뿌리고 말이야,00:04:14,00:04:14,00:04:14
승혁,이거 다 폭행이야!,00:04:17,00:04:17,00:04:17
승혁,폭행이 아니라 장난이었어요,00:04:19,00:04:19,00:04:19
승혁,야,00:04:19,00:04:19,00:04:19
차영,사랑하는 후배한테 친 장난,00:04:21,00:04:21,00:04:21
설명,[흥미로운 음악],00:04:23,00:04:23,00:04:23
차영,이 정도는 서로 할 수 있는 사이잖아,00:04:24,00:04:24,00:04:24
차영,"그렇지, 장한석? [준우의 헛웃음]",00:04:28,00:04:28,00:04:28
명희,[책상을 탁탁 치며] 장난이라,00:04:30,00:04:30,00:04:30
명희,"니 지금 그걸 말이라고 하나, 어?",00:04:31,00:04:31,00:04:31
명희,당장 기소하세요,00:04:34,00:04:34,00:04:34
한서,그리고 그 스크린 두 사람 그거 자작극 아닙니까?,00:04:35,00:04:35,00:04:35
한서,"딱 봐도, 뭐",00:04:39,00:04:39,00:04:39
명희,"그, 동영상 진위 여부 이런 거 조사도 안 하고",00:04:40,00:04:40,00:04:40
명희,막 체포해도 되는 겁니까?,00:04:42,00:04:42,00:04:42
승혁,"어, 이거 만약에 위법하게 수집된 거면",00:04:43,00:04:43,00:04:43
승혁,"내가, 어? 내가 딱 지금 내가 문제 삼을 거야",00:04:46,00:04:46,00:04:46
승혁,"내가 바로, 어? 여기",00:04:49,00:04:49,00:04:49
승혁,응?,00:04:51,00:04:51,00:04:51
