actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[긴장되는 음악],00:00:43,00:00:43,00:00:43
설명,[비명],00:00:55,00:00:55,00:00:55
설명,[함께 놀란다],00:00:56,00:00:56,00:00:56
호철,"변, 변호사님, 저 좀… [사람들의 비명]",00:00:58,00:00:58,00:00:58
호철,"살, 살려 주세요",00:01:01,00:01:01,00:01:01
설명,[총성],00:01:02,00:01:02,00:01:02
설명,[한서의 비명] [승혁의 겁먹은 신음],00:01:04,00:01:04,00:01:04
설명,[총성],00:01:05,00:01:05,00:01:05
설명,[의미심장한 음악],00:01:09,00:01:09,00:01:09
설명,[비명],00:02:01,00:02:01,00:02:01
설명,[승혁의 겁먹은 신음],00:02:09,00:02:09,00:02:09
설명,[한서의 겁먹은 신음],00:02:12,00:02:12,00:02:12
한서,살려 주세요!,00:02:13,00:02:13,00:02:13
설명,[명희의 겁먹은 신음],00:02:26,00:02:26,00:02:26
설명,[분위기가 고조되는 음악],00:02:30,00:02:30,00:02:30
설명,[총성],00:02:33,00:02:33,00:02:33
설명,[총성],00:02:35,00:02:35,00:02:35
한서,내 어머니를 죽인 건,00:03:01,00:03:01,00:03:01
한서,악한 짓이 아니라 최악의 바보짓이었어,00:03:04,00:03:04,00:03:04
설명,[명희의 떨리는 숨소리],00:03:07,00:03:07,00:03:07
빈센조,너희들이 그렇게 수많은 사람을 죽이고,00:03:09,00:03:09,00:03:09
빈센조,나까지 죽이려고 했던 걸 알면서도,00:03:11,00:03:11,00:03:11
빈센조,내가 왜 너희를 안 죽였는지 알아?,00:03:16,00:03:16,00:03:16
설명,[승혁의 거친 숨소리],00:03:21,00:03:21,00:03:21
빈센조,귀찮아서,00:03:25,00:03:25,00:03:25
설명,[무거운 음악] [떨리는 숨소리],00:03:28,00:03:28,00:03:28
빈센조,난 해야 할 일이 있는데,00:03:34,00:03:34,00:03:34
빈센조,괜히 너희를 죽이면,00:03:37,00:03:37,00:03:37
빈센조,성가신 일이 너무 많이 생기거든,00:03:40,00:03:40,00:03:40
빈센조,저런 작은 벌레 새끼들 죽이는 건 상관없지만,00:03:45,00:03:45,00:03:45
빈센조,아무튼,00:03:52,00:03:52,00:03:52
빈센조,너희 이제 죽어야 돼,00:03:55,00:03:55,00:03:55
설명,[사람들의 겁먹은 신음],00:03:56,00:03:56,00:03:56
한서,"아니, 저 진짜, 아니, 저 진짜… [승혁이 울먹인다]",00:03:58,00:03:58,00:03:58
빈센조,겁내지 마,00:04:04,00:04:04,00:04:04
빈센조,오늘은 아니니까,00:04:06,00:04:06,00:04:06
설명,[떨리는 숨소리] [한서가 콜록거린다],00:04:07,00:04:07,00:04:07
빈센조,내 원칙이 하나 있거든,00:04:14,00:04:14,00:04:14
빈센조,고통 없는 죽음은 축복이라는 거,00:04:19,00:04:19,00:04:19
설명,[헛웃음],00:04:25,00:04:25,00:04:25
빈센조,앞으로 너희에게 두 가지를 줄 거야,00:04:27,00:04:27,00:04:27
빈센조,죽음보다 더한 수치심,00:04:31,00:04:31,00:04:31
빈센조,그리고,00:04:34,00:04:34,00:04:34
빈센조,고통의 단계를 천천히 느끼는,00:04:37,00:04:37,00:04:37
빈센조,죽음,00:04:43,00:04:43,00:04:43
설명,[승혁의 거친 숨소리],00:04:51,00:04:51,00:04:51
빈센조,저 쓰레기는 너희들이 알아서 처리해,00:04:58,00:04:58,00:04:58
빈센조,그리고 나한테 뒤집어씌울 생각 하지 마,00:05:00,00:05:00,00:05:00
빈센조,시킨 사람이 누구인지도,00:05:03,00:05:03,00:05:03
빈센조,같이 밝혀질 테니까,00:05:07,00:05:07,00:05:07
설명,[승혁의 옅은 신음],00:05:15,00:05:15,00:05:15
빈센조,아,00:05:17,00:05:17,00:05:17
설명,[긴장되는 음악],00:05:19,00:05:19,00:05:19
설명,[준우의 거친 숨소리],00:05:24,00:05:24,00:05:24
설명,[총을 철컥 장전한다],00:05:28,00:05:28,00:05:28
빈센조,그래도 애피타이저는 있어야지,00:05:32,00:05:32,00:05:32
설명,[떨리는 숨소리],00:05:34,00:05:34,00:05:34
설명,[총성] [준우의 비명],00:05:48,00:05:48,00:05:48
설명,[분위기가 고조되는 음악],00:05:49,00:05:49,00:05:49
