actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[경쾌한 음악] [사람들이 소란스럽다],00:00:43,00:00:43,00:00:43
차영,"어머머, 어머머",00:00:45,00:00:45,00:00:45
차영,이거 어디서 많이 본 장면 같은데?,00:00:56,00:00:56,00:00:56
설명,[종소리 효과음],00:01:10,00:01:10,00:01:10
수남,"아니, 왜 우리만 가둬요? 아니, 진짜",00:01:16,00:01:16,00:01:16
설명,[사람들이 소란스럽다],00:01:18,00:01:18,00:01:18
수남,"아니, 가만히 가고 있는데 갑자기 팼다니까요, 여기, 여기",00:01:21,00:01:21,00:01:21
희수,"[익살스러운 음악] 아니, 여기 이거, 이거",00:01:25,00:01:25,00:01:25
희수,"옷 찢어진 거 안 보여요, 어?",00:01:26,00:01:26,00:01:26
희수,"야, 너 성희롱이야, 너, 너, 어?",00:01:28,00:01:28,00:01:28
수남,"하, 성희롱?",00:01:30,00:01:30,00:01:30
희수,"[울먹이며] 새 옷인데, 씨",00:01:32,00:01:32,00:01:32
철욱,내가 마음먹고 기술 들어갔으면은,00:01:34,00:01:34,00:01:34
철욱,저 새끼들 다 폴더 폰 됐다니까요,00:01:37,00:01:37,00:01:37
수남,"아유, 씨",00:01:39,00:01:39,00:01:39
수남,"뭘 봐, 인마, 씨",00:01:41,00:01:41,00:01:41
설명,[목탁 소리 효과음],00:01:42,00:01:42,00:01:42
채신,"저, 스님이 사람 때리는 거 보신 적 있습니까, 형사님?",00:01:43,00:01:43,00:01:43
수남,"하, 참, 저 땡중, 씨 [익살스러운 음악]",00:01:46,00:01:46,00:01:46
수남,"아니, 말만 걸었는데",00:01:48,00:01:48,00:01:48
수남,갑자기 날아 차기 하고 사람 막 뒤집어 던지고,00:01:50,00:01:50,00:01:50
수남,"깃발로 막 때리고 깃발 어디 있어, 깃발?",00:01:52,00:01:52,00:01:52
수남,"저거, 저거 완전 흉기라고!",00:01:54,00:01:54,00:01:54
석도,"아, 이 형사님, 아시잖아, 올 화이트야",00:01:56,00:01:56,00:01:56
석도,우리가 제대로 접수하려면 안 이러지,00:01:58,00:01:58,00:01:58
석도,"알잖아, 왜 이래?",00:02:00,00:02:00,00:02:00
형사1,"아, 좀 조용, 조용!",00:02:01,00:02:01,00:02:01
형사1,"아, 조용히 좀",00:02:02,00:02:02,00:02:02
설명,[사람들이 소란스럽다],00:02:03,00:02:03,00:02:03
형사1,"조용, 조용, 조용!",00:02:05,00:02:05,00:02:05
설명,[북소리가 울린다],00:02:09,00:02:09,00:02:09
형사1,"아, 뭡니까?",00:02:15,00:02:15,00:02:15
설명,[형사1의 한숨],00:02:18,00:02:18,00:02:18
차영,금가프라자 세입자들 변호사입니다,00:02:19,00:02:19,00:02:19
빈센조,저도요,00:02:21,00:02:21,00:02:21
빈센조,"아니, 무슨 변호사가 두 명씩이나 있어요?",00:02:22,00:02:22,00:02:22
홍식,봤어?,00:02:24,00:02:24,00:02:24
홍식,우리가 이런 사람이여,00:02:26,00:02:26,00:02:26
홍식,법적으로 완벽하게 커버된,00:02:27,00:02:27,00:02:27
홍식,맘마미아,00:02:29,00:02:29,00:02:29
차영,저쪽에서 이분을 먼저 폭행했고,00:02:30,00:02:30,00:02:30
차영,이를 말리려던 프라자 사람들을 함께 폭행한 겁니다,00:02:32,00:02:32,00:02:32
수남,아니에요!,00:02:35,00:02:35,00:02:35
수남,얘네들이 우리 먼저 팼다니까!,00:02:36,00:02:36,00:02:36
빈센조,김영호 학생,00:02:38,00:02:38,00:02:38
빈센조,"김영호 학생, 김영호 학…",00:02:40,00:02:40,00:02:40
영호,네,00:02:43,00:02:43,00:02:43
빈센조,어,00:02:43,00:02:43,00:02:43
설명,[흥미진진한 음악],00:02:43,00:02:43,00:02:43
희수,"야, 너 여기 왜 왔어?",00:02:44,00:02:44,00:02:44
희수,"그, 네가 촬영한 거 우리 형사님께 보여 드릴 수 있겠니?",00:02:46,00:02:46,00:02:46
희수,"네, 근데 말투가 왜…",00:02:49,00:02:49,00:02:49
빈센조,"응, 가",00:02:52,00:02:52,00:02:52
영호,아,00:02:53,00:02:53,00:02:53
토토,"[기석의 의아한 신음] 아, 뭐여?",00:02:54,00:02:54,00:02:54
희수,봐 봐,00:02:55,00:02:55,00:02:55
홍식,뭐여?,00:02:55,00:02:55,00:02:55
토토,"촤, 촬…",00:02:56,00:02:56,00:02:56
설명,[사람들의 놀란 신음],00:02:57,00:02:57,00:02:57
설명,[소란스럽다],00:02:59,00:02:59,00:02:59
기석,"여, 여, 여기, 여기, 저, 저, 저",00:03:02,00:03:02,00:03:02
수남,"아니, 형님",00:03:05,00:03:05,00:03:05
설명,[사람들이 소란스럽다],00:03:07,00:03:07,00:03:07
형사1,"나왔어, 나왔어",00:03:14,00:03:14,00:03:14
형사1,어쨌거나 목표대로 되긴 됐네요,00:03:19,00:03:19,00:03:19
형사1,역시 마피아야,00:03:21,00:03:21,00:03:21
형사1,"하지 마요, 하지 마요",00:03:22,00:03:22,00:03:22
차영,마,00:03:22,00:03:22,00:03:22
차영,"마카롱, 마카롱, 마카롱",00:03:25,00:03:25,00:03:25
빈센조,하지 마,00:03:25,00:03:25,00:03:25
차영,[웃으며] 마카롱,00:03:27,00:03:27,00:03:27
설명,[사람들이 저마다 말한다],00:03:28,00:03:28,00:03:28
래리 강,"이모, 김치, 김치",00:03:31,00:03:31,00:03:31
연진,"김치, 김치",00:03:31,00:03:31,00:03:31
토토,"아, 근데 잠깐만 [사람들이 저마다 말한다]",00:03:35,00:03:35,00:03:35
토토,"아니, 내 말 좀 들어 봐",00:03:38,00:03:38,00:03:38
토토,"저, 우리 다들 잘했는데",00:03:40,00:03:40,00:03:40
토토,"우리 안 군, 어? [연진이 호응한다]",00:03:42,00:03:42,00:03:42
토토,"이, 보기보다 맷집이 아주 세 보이던데, 어?",00:03:44,00:03:44,00:03:44
토토,제 후계자라서 그런가요? [사람들의 웃음],00:03:46,00:03:46,00:03:46
토토,오늘 잘 버텼어,00:03:49,00:03:49,00:03:49
토토,제가 말씀 안 드려 그렇지,00:03:50,00:03:50,00:03:50
토토,저 보통 사람이 아닙니다,00:03:52,00:03:52,00:03:52
토토,"[사람들의 웃음] 그럼, 보통이 아니지",00:03:54,00:03:54,00:03:54
미리,"아니, 진작에 이렇게 붙을 걸 그랬어요, 어?",00:03:55,00:03:55,00:03:55
미리,"[익살스러운 음악] 박석도 얘네도 뭐, 별거 아니네",00:03:58,00:03:58,00:03:58
연진,"아유, 양아치들이 그렇지, 뭐",00:03:59,00:03:59,00:03:59
연진,"쥐뿔 힘도 없는 것들이 몰려다니기만 하고, 안 그래? [철욱이 호응한다]",00:04:01,00:04:01,00:04:01
철욱,"아, 자식들, 아무것도 아니야, 응? 응 [연진이 호응한다]",00:04:04,00:04:04,00:04:04
철욱,래리 원장,00:04:07,00:04:07,00:04:07
철욱,"거, 안 쥐어 터지고 잘 버티데? [흥미로운 음악]",00:04:09,00:04:09,00:04:09
연진,그러게,00:04:11,00:04:11,00:04:11
철욱,리스펙트,00:04:11,00:04:11,00:04:11
철욱,"저기, 지금에서야 말씀드리지만",00:04:13,00:04:13,00:04:13
철욱,이 댄스도 무술의 그게 다 돼 있거든요,00:04:14,00:04:14,00:04:14
철욱,저도 둑방 쌥쌥이 출신이라,00:04:19,00:04:19,00:04:19
철욱,서너 명 정도는 처리가 가능합니다,00:04:21,00:04:21,00:04:21
기석,"아, 그래요? [사람들이 호응한다]",00:04:24,00:04:24,00:04:24
적하,저 역시 소싯적에 사찰 무술을 배워서,00:04:25,00:04:25,00:04:25
적하,기본적인 내공은 있습니다,00:04:28,00:04:28,00:04:28
설명,[사람들의 탄성],00:04:29,00:04:29,00:04:29
홍식,역시 스님,00:04:31,00:04:31,00:04:31
희수,그렇구나,00:04:31,00:04:31,00:04:31
홍식,"이야, 뭐, 옛날얘기를 하자믄 내가 진짜 한참 있는디",00:04:33,00:04:33,00:04:33
홍식,소싯적에 말이여,00:04:37,00:04:37,00:04:37
설명,[사람들이 호응한다],00:04:38,00:04:38,00:04:38
홍식,여기까지,00:04:40,00:04:40,00:04:40
설명,[사람들의 웃음],00:04:41,00:04:41,00:04:41
희수,"에이, 진짜, 아이, 응?",00:04:42,00:04:42,00:04:42
희수,야!,00:04:46,00:04:46,00:04:46
희수,"이놈의 새끼야, 어?",00:04:47,00:04:47,00:04:47
희수,너 학원 안 가고 왜 거기 있었어?,00:04:49,00:04:49,00:04:49
영호,"아, 저 빈센조 아저씨가 찍으라 그랬단 말이에요",00:04:51,00:04:51,00:04:51
설명,[사람들의 의아한 신음],00:04:54,00:04:54,00:04:54
영호,아이씨,00:04:55,00:04:55,00:04:55
영호,빈센조 변호사님,00:04:58,00:04:58,00:04:58
빈센조,예,00:04:58,00:04:58,00:04:58
철욱,감사합니다,00:05:00,00:05:00,00:05:00
철욱,덕분에 저희가 각성하고 싸우게 됐습니다,00:05:02,00:05:02,00:05:02
설명,[철욱의 웃음],00:05:06,00:05:06,00:05:06
빈센조,무슨 말씀이신지,00:05:08,00:05:08,00:05:08
희수,"그러게, 응?",00:05:09,00:05:09,00:05:09
희수,변호사님 오셔 가지고 우리가 박석도를,00:05:10,00:05:10,00:05:10
희수,"그 새끼, 그거, 응?",00:05:13,00:05:13,00:05:13
희수,아주 알로 보기 시작했잖아 [사람들의 웃음],00:05:14,00:05:14,00:05:14
희수,"그, 제 요리에도 아주 신선한 자극을 주셨었죠",00:05:16,00:05:16,00:05:16
설명,[토토의 멋쩍은 웃음],00:05:20,00:05:20,00:05:20
토토,"자, 그런 의미에서 우리 일동 박수!",00:05:21,00:05:21,00:05:21
설명,[밝은 음악],00:05:23,00:05:23,00:05:23
설명,[사람들의 박수],00:05:24,00:05:24,00:05:24
연진,"박수, 박수!",00:05:26,00:05:26,00:05:26
사람들,"빈센조, 빈센조, 빈센조!",00:05:28,00:05:28,00:05:28
설명,[사람들의 웃음],00:05:32,00:05:32,00:05:32
차영,"아이, 근데, 근데, 근데, 근데 [연진이 호응한다]",00:05:34,00:05:34,00:05:34
차영,알로 보여도 절대 먼저 자극하거나 폭행하시면 절대 안 돼요,00:05:36,00:05:36,00:05:36
연진,"[차영을 토닥이며] 알았어, 알아",00:05:40,00:05:40,00:05:40
홍식,걱정 말아요,00:05:41,00:05:41,00:05:41
홍식,"아이고, 우리가 무슨 석도여?",00:05:42,00:05:42,00:05:42
설명,[사람들의 웃음],00:05:44,00:05:44,00:05:44
홍식,"아, 그라고",00:05:45,00:05:45,00:05:45
홍식,"뭐, 우리들 필요한 일 있으믄 뭐, 언제든지 불러유",00:05:46,00:05:46,00:05:46
홍식,"뭐, 변호사님들 일이라믄, 뭐",00:05:49,00:05:49,00:05:49
홍식,제가 잠시 다리미를 꺼 두고 달려갈 테니께,00:05:51,00:05:51,00:05:51
설명,[사람들의 웃음],00:05:53,00:05:53,00:05:53
영호,"이것 보세요, 이것 좀, 20만 뷰",00:05:56,00:05:56,00:05:56
희수,어?,00:05:58,00:05:58,00:05:58
설명,[사람들의 놀란 신음],00:05:59,00:05:59,00:05:59
설명,[영상 소리가 흘러나온다] [사람들의 탄성],00:06:01,00:06:01,00:06:01
연진,"뭐야, 나 왜 저렇게 쭈구리처럼 나온 거야?",00:06:04,00:06:04,00:06:04
토토,"아, 잠깐",00:06:06,00:06:06,00:06:06
토토,내 얼굴 왜 이렇게 커? 합성인가?,00:06:07,00:06:07,00:06:07
희수,"[홍식이 말한다] 야, 잘 찍었네, 영화 같네",00:06:09,00:06:09,00:06:09
래리 강,"이야, 재능인데, 이거는",00:06:12,00:06:12,00:06:12
희수,엄청 멋있네,00:06:12,00:06:12,00:06:12
희수,전 소맥을 안 먹어 봤습니다 [차분한 음악],00:06:14,00:06:14,00:06:14
기석,프라자 사람들이 이곳에 남아 투쟁을 벌이는 이유를 이제 알았다,00:06:17,00:06:17,00:06:17
기석,빈센조의 강인함과 탁월한 리더십에 감흥을 받은 것이다,00:06:21,00:06:21,00:06:21
기석,그렇다면 빈센조는 마피아가 아니라,00:06:25,00:06:25,00:06:25
기석,체 게바라다,00:06:28,00:06:28,00:06:28
설명,[긴장되는 음악],00:06:33,00:06:33,00:06:33
명희,"자리에 응해 주셔서 감사합니다, 지검장님",00:06:35,00:06:35,00:06:35
명희,"뭐, 이왕 이렇게 된 거",00:06:37,00:06:37,00:06:37
명희,서로 탈 없이 가 보자고,00:06:40,00:06:40,00:06:40
명희,바벨 장 회장하고는 바로 자리 만들도록 하겠습니다,00:06:43,00:06:43,00:06:43
서 부장,"아참, 최명희",00:06:48,00:06:48,00:06:48
서 부장,내가 저번에 말했던 거 있잖아,00:06:49,00:06:49,00:06:49
서 부장,"그, 내 동기 김 부장 펜션 스캔들",00:06:52,00:06:52,00:06:52
서 부장,그거 마무리 좀 해,00:06:55,00:06:55,00:06:55
승혁,"[웃으며] 그거, 뭐",00:06:56,00:06:56,00:06:56
서 부장,왜? 싫어?,00:06:58,00:06:58,00:06:58
황 지검장,내가 통 크게 예스 했는데 이 정도 옵션은 응해 줘야지,00:07:01,00:07:01,00:07:01
황 지검장,"그렇죠, 그거를, 예 바로 저희가 다 해결하죠, 그걸",00:07:10,00:07:10,00:07:10
승혁,해결할 겁니다,00:07:13,00:07:13,00:07:13
설명,[승혁과 서 부장의 웃음],00:07:14,00:07:14,00:07:14
승혁,"그거 바로 지금 벌써 하고 있는 걸로 알고 있는데, 그렇죠? 응?",00:07:16,00:07:16,00:07:16
차영,뭐부터 물어볼까요?,00:07:21,00:07:21,00:07:21
차영,"음, 마피아가 된 동기는?",00:07:23,00:07:23,00:07:23
설명,[빈센조의 헛웃음],00:07:26,00:07:26,00:07:26
차영,마피아 변호사가 되는 방법은?,00:07:27,00:07:27,00:07:27
차영,마피아 변호사의 연봉은?,00:07:29,00:07:29,00:07:29
차영,"아, 물어볼 거 너무 많아",00:07:33,00:07:33,00:07:33
빈센조,아무것도 물어보지 말아요,00:07:35,00:07:35,00:07:35
차영,이 마당에 어떻게 아무것도 안 물어봐요,00:07:37,00:07:37,00:07:37
차영,생각나는 질문만 80개가 넘는데,00:07:40,00:07:40,00:07:40
빈센조,"하, 참 [잔잔한 음악]",00:07:44,00:07:44,00:07:44
설명,[차영의 웃음],00:07:45,00:07:45,00:07:45
빈센조,"알았어요, 그럼 오늘은 딱 2개까지만",00:07:47,00:07:47,00:07:47
차영,어…,00:07:50,00:07:50,00:07:50
차영,일단 어떻게 마피아 변호사가 됐어요?,00:07:52,00:07:52,00:07:52
빈센조,"뭐, 마피아라고 크게 다를 건 없어요",00:07:56,00:07:56,00:07:56
빈센조,비즈니스야 어디든 비슷하니까,00:07:59,00:07:59,00:07:59
설명,[차영의 수긍하는 신음],00:08:01,00:08:01,00:08:01
차영,그럼 혹시 영화에서처럼 사람들이 죽는 일도 생기고 그래요?,00:08:03,00:08:03,00:08:03
차영,잘못하면 대가를 치러야죠,00:08:08,00:08:08,00:08:08
차영,그게 마피아의 원칙입니다,00:08:11,00:08:11,00:08:11
차영,"와, 정말 장난 아니구나",00:08:14,00:08:14,00:08:14
차영,그럼 다음 질문,00:08:19,00:08:19,00:08:19
빈센조,"그만, 2개 다 끝났습니다",00:08:20,00:08:20,00:08:20
빈센조,그럼 나머지 78개는 다음에,00:08:23,00:08:23,00:08:23
빈센조,조금 늘어날지도 몰라요,00:08:25,00:08:25,00:08:25
설명,[헛웃음],00:08:26,00:08:26,00:08:26
빈센조,들어가요,00:08:28,00:08:28,00:08:28
빈센조,오늘도 너무 고마웠어요,00:08:33,00:08:33,00:08:33
차영,나 감방 안 가게 해 줘서요,00:08:35,00:08:35,00:08:35
설명,[빈센조가 살짝 웃는다],00:08:37,00:08:37,00:08:37
빈센조,나중에 꼭 갚아요,00:08:39,00:08:39,00:08:39
빈센조,마피아는 베푼 거 다 돌려받으니까,00:08:41,00:08:41,00:08:41
빈센조,"네, 뭐로든 꼭 갚을게요",00:08:45,00:08:45,00:08:45
설명,[살짝 웃는다],00:08:48,00:08:48,00:08:48
