actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[의미심장한 음악],00:00:43,00:00:43,00:00:43
설명,[라이터를 달칵거린다],00:00:49,00:00:49,00:00:49
설명,[라이터를 달칵거린다],00:00:56,00:00:56,00:00:56
설명,[라이터를 달칵거린다],00:01:06,00:01:06,00:01:06
차영,[이탈리아어] 파올로가 보냈나?,00:01:36,00:01:36,00:01:36
차영,아마도,00:01:40,00:01:40,00:01:40
설명,[의미심장한 음악],00:01:53,00:01:53,00:01:53
설명,[엔초의 힘주는 신음],00:01:59,00:01:59,00:01:59
설명,[빈센조의 힘겨운 신음],00:02:02,00:02:02,00:02:02
설명,[힘겨운 신음],00:02:07,00:02:07,00:02:07
설명,[헛웃음],00:02:15,00:02:15,00:02:15
차영,파올로 보스가 전하랬어,00:02:17,00:02:17,00:02:17
차영,존경을 표시하면,00:02:19,00:02:19,00:02:19
엔초,고통 없이 죽이라고,00:02:22,00:02:22,00:02:22
설명,[헛웃음],00:02:26,00:02:26,00:02:26
엔초,파올로에게 전해,00:02:32,00:02:32,00:02:32
엔초,내 영혼도 널 존경하지 않을 거라고,00:02:37,00:02:37,00:02:37
설명,[비웃음],00:02:39,00:02:39,00:02:39
설명,[비둘기 울음이 들려온다],00:02:45,00:02:45,00:02:45
설명,[신비로운 음악],00:02:52,00:02:52,00:02:52
설명,[비둘기 울음],00:02:58,00:02:58,00:02:58
설명,[리드미컬한 음악],00:03:05,00:03:05,00:03:05
설명,[총성],00:03:23,00:03:23,00:03:23
설명,[총성],00:03:28,00:03:28,00:03:28
설명,[소란스럽게 싸운다],00:03:31,00:03:31,00:03:31
설명,[킬러의 비명],00:03:34,00:03:34,00:03:34
설명,[총성],00:03:37,00:03:37,00:03:37
설명,[거친 숨소리],00:03:38,00:03:38,00:03:38
설명,[한숨],00:03:45,00:03:45,00:03:45
설명,[거친 숨소리],00:03:49,00:03:49,00:03:49
설명,[비둘기 울음],00:03:52,00:03:52,00:03:52
엔초,인자기?,00:03:55,00:03:55,00:03:55
설명,[비둘기 울음] [감동적인 음악],00:03:56,00:03:56,00:03:56
엔초,인자기,00:03:59,00:03:59,00:03:59
설명,[비둘기 울음],00:04:00,00:04:00,00:04:00
설명,[놀란 숨소리],00:04:03,00:04:03,00:04:03
설명,[비둘기 울음],00:04:11,00:04:11,00:04:11
설명,[비둘기 울음],00:04:15,00:04:15,00:04:15
설명,[한숨],00:04:21,00:04:21,00:04:21
차영,"[한국어] 어, 다 치웠어요?",00:04:32,00:04:32,00:04:32
빈센조,"아, 아, 예 [차영이 호응한다]",00:04:34,00:04:34,00:04:34
빈센조,"아, 변호사님 우리 사무실 가서 마실까요?",00:04:36,00:04:36,00:04:36
빈센조,위에 비둘기 똥이 막… 말도 마요,00:04:39,00:04:39,00:04:39
빈센조,"아유, 줘요, 내가 할게",00:04:41,00:04:41,00:04:41
빈센조,그거 인자기와 친구들이 그런 거죠?,00:04:44,00:04:44,00:04:44
설명,[우아한 음악],00:04:47,00:04:47,00:04:47
빈센조,인자기,00:04:50,00:04:50,00:04:50
빈센조,그런 비둘기 아니에요,00:04:52,00:04:52,00:04:52
빈센조,다른 것들이 그랬겠죠,00:04:54,00:04:54,00:04:54
빈센조,말 함부로 하지 마요,00:04:55,00:04:55,00:04:55
빈센조,인자기 서운하겠네,00:04:57,00:04:57,00:04:57
빈센조,옷이 왜 이래요?,00:05:05,00:05:05,00:05:05
빈센조,"아, 이거",00:05:08,00:05:08,00:05:08
빈센조,"그, 테이블 옮기다가 못에 긁혔나 보다",00:05:10,00:05:10,00:05:10
빈센조,아휴,00:05:12,00:05:12,00:05:12
빈센조,"아, 그걸 왜 혼자 옮기고 있어",00:05:12,00:05:12,00:05:12
차영,"그냥 서서 마시지, 뭐",00:05:14,00:05:14,00:05:14
차영,"아이, 변호사님 [차영의 당황한 신음]",00:05:16,00:05:16,00:05:16
빈센조,나 무릎이 시려 가지고,00:05:18,00:05:18,00:05:18
빈센조,"우리 앉아서 마시자고요, 예?",00:05:21,00:05:21,00:05:21
설명,[빈센조의 아파하는 신음],00:05:23,00:05:23,00:05:23
빈센조,네,00:05:24,00:05:24,00:05:24
설명,[차영의 헛기침],00:05:27,00:05:27,00:05:27
빈센조,"아, 그 갤러리에서 빼낸 파일 정 검사한테 보냈죠?",00:05:28,00:05:28,00:05:28
차영,"네, 아마 신나서 잡으러 갈 거예요",00:05:32,00:05:32,00:05:32
빈센조,"아, 잘됐네",00:05:34,00:05:34,00:05:34
한서,"아니, 왜 쓸데없는 이벤트 같은 걸 해서",00:05:39,00:05:39,00:05:39
한서,일을 이따위로 만들어? [의미심장한 음악],00:05:40,00:05:40,00:05:40
한서,갤러리가 당신 놀이공원이야?,00:05:42,00:05:42,00:05:42
설명,[정 관장의 떨리는 숨소리],00:05:44,00:05:44,00:05:44
정 관장,죄송합니다,00:05:45,00:05:45,00:05:45
정 관장,정말 죽을죄를 지었습니다,00:05:47,00:05:47,00:05:47
정 관장,"당신 하나 죽는 걸로 안 끝나, 나는!",00:05:49,00:05:49,00:05:49
설명,[한서가 소리친다],00:05:51,00:05:51,00:05:51
준우,조용히 좀 해,00:05:54,00:05:54,00:05:54
준우,나 생각하고 있잖아,00:05:56,00:05:56,00:05:56
준우,"너무 어이가 없지 않습니까, 형님?",00:05:58,00:05:58,00:05:58
준우,"생각이 하나도 없어, 생각이!",00:06:01,00:06:01,00:06:01
준우,회장님 출국 금지 떨어지기 전에 나가시는 게 좋을 것 같습니다,00:06:03,00:06:03,00:06:03
한서,"왜요, 어디를?",00:06:07,00:06:07,00:06:07
한서,"어차피 내가 형님 대신에 들어갈 건데, 왜?",00:06:08,00:06:08,00:06:08
명희,지금 저쪽에서 확보한 증거들 전부 회장님을 향하고 있습니다,00:06:10,00:06:10,00:06:10
명희,여기서 회장님 집으로 전송한 IP 기록들 다 뜰 거고요,00:06:14,00:06:14,00:06:14
명희,부회장,00:06:21,00:06:21,00:06:21
명희,뉴욕으로 가는 가장 빠른 비행기 알아봐,00:06:24,00:06:24,00:06:24
한서,예,00:06:27,00:06:27,00:06:27
설명,[문이 탁 여닫힌다] [한숨],00:06:34,00:06:34,00:06:34
설명,[준우의 성난 신음] [강렬한 음악],00:06:44,00:06:44,00:06:44
설명,[정 관장이 흐느낀다],00:06:47,00:06:47,00:06:47
설명,[준우의 힘주는 신음],00:06:51,00:06:51,00:06:51
설명,[준우의 성난 신음],00:06:54,00:06:54,00:06:54
설명,[흐느낀다] [준우의 거친 숨소리],00:06:57,00:06:57,00:06:57
준우,갈 땐 가더라도,00:07:00,00:07:00,00:07:00
준우,빈센조 시체는 보고 가야지,00:07:01,00:07:01,00:07:01
준우,"[무거운 음악] 예, 일단 정리는 끝냈습니다",00:07:11,00:07:11,00:07:11
준우,근데 한 놈 핸드폰 수신 기록에,00:07:13,00:07:13,00:07:13
황규,최명희 변호사 번호가 있습니다,00:07:16,00:07:16,00:07:16
설명,[헛웃음],00:07:20,00:07:20,00:07:20
설명,[와인병을 탁 내려놓는다],00:07:21,00:07:21,00:07:21
황규,"[잔을 달그락 들며] 그래, 수고했어, 잘 처리해",00:07:22,00:07:22,00:07:22
설명,[통화 연결음],00:07:28,00:07:28,00:07:28
황규,"[이탈리아어] 예, 콘실리에리",00:07:34,00:07:34,00:07:34
황규,루카!,00:07:35,00:07:35,00:07:35
황규,"""나씽""",00:07:37,00:07:37,00:07:37
설명,[흐느낀다],00:07:45,00:07:45,00:07:45
설명,[휴대전화 진동음],00:07:51,00:07:51,00:07:51
황규,[한국어] 또 못 죽였네?,00:08:14,00:08:14,00:08:14
황규,빈센조 시체 한번 보기 힘드네,00:08:24,00:08:24,00:08:24
설명,[헛웃음],00:08:27,00:08:27,00:08:27
설명,[정 관장이 흐느낀다],00:08:31,00:08:31,00:08:31
