구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년03월25일,1998.34,1895.13,1900.45,1941.92,1890.93,1915.52,1919.01,1935.26,1921.76,1921.88,1919.27,1885.64,1900.55,1904.36,1906.00,2022.86,1919.91
2022년03월26일,1993.15,1893.32,1899.27,1939.34,1891.28,1915.07,1918.45,1934.17,1923.08,1922.32,1920.08,1887.18,1902.76,1905.80,1906.71,1992.37,1918.70
2022년03월27일,1992.76,1893.43,1899.25,1938.08,1891.92,1916.17,1918.11,1934.36,1923.46,1922.69,1921.14,1888.27,1903.44,1906.85,1907.53,1991.08,1919.30
2022년03월28일,1996.77,1894.83,1898.69,1934.88,1894.48,1917.04,1917.72,1934.43,1924.53,1923.42,1922.96,1889.22,1904.71,1907.59,1908.25,1990.92,1922.26
2022년03월29일,1996.74,1896.62,1896.86,1929.19,1894.45,1917.01,1916.38,1933.68,1925.27,1923.80,1923.01,1889.88,1906.72,1907.93,1908.42,1986.34,1921.88
2022년03월30일,1995.94,1894.77,1895.45,1926.23,1894.56,1916.99,1915.87,1932.50,1924.88,1923.52,1922.16,1890.37,1907.65,1907.76,1907.75,1984.30,1922.33
2022년03월31일,1992.78,1892.58,1893.50,1924.27,1894.54,1916.77,1914.45,1931.22,1924.68,1922.76,1921.98,1890.53,1907.62,1907.19,1906.77,1982.70,1920.91
2022년04월01일,1989.60,1891.16,1889.59,1921.34,1891.70,1912.70,1910.01,1928.46,1924.28,1922.06,1920.13,1889.19,1907.34,1905.76,1904.51,1981.64,1921.05
2022년04월02일,1981.78,1889.40,1888.42,1917.89,1891.40,1910.24,1909.51,1925.33,1923.86,1920.68,1918.88,1888.62,1908.99,1904.08,1903.29,1981.67,1919.73
2022년04월03일,1979.63,1888.35,1888.25,1917.59,1890.20,1909.45,1908.43,1924.45,1923.83,1920.09,1918.54,1889.32,1908.73,1903.45,1902.73,1982.39,1919.98
2022년04월04일,1982.05,1887.20,1884.62,1914.67,1890.14,1907.41,1904.72,1922.49,1922.52,1918.72,1916.64,1887.99,1907.84,1901.57,1901.93,1980.65,1918.62
2022년04월05일,1976.80,1886.14,1881.52,1912.16,1889.37,1904.42,1901.99,1919.54,1922.16,1917.73,1915.08,1887.54,1907.05,1900.00,1900.59,1980.63,1917.48
2022년04월06일,1974.52,1885.24,1878.90,1910.82,1889.27,1902.68,1900.30,1917.71,1922.25,1917.32,1914.31,1887.96,1905.79,1899.23,1900.72,1980.10,1916.98
2022년04월07일,1974.25,1883.67,1876.77,1910.49,1888.49,1900.66,1899.09,1915.59,1922.25,1916.17,1912.23,1887.69,1905.48,1897.70,1899.69,1979.59,1914.34
2022년04월08일,1971.12,1883.21,1873.64,1906.75,1889.25,1899.53,1895.63,1913.52,1922.20,1914.84,1910.76,1887.82,1905.68,1896.38,1898.79,1979.10,1912.29
2022년04월09일,1966.72,1882.19,1873.01,1903.73,1888.47,1897.37,1893.10,1911.18,1921.14,1913.93,1909.60,1886.60,1905.10,1894.43,1896.97,1978.01,1910.57
2022년04월10일,1965.89,1881.21,1872.18,1902.72,1888.23,1896.12,1891.80,1910.07,1921.07,1913.52,1909.07,1886.13,1904.86,1893.61,1896.60,1978.24,1912.12
2022년04월11일,1968.84,1880.77,1870.71,1901.35,1887.81,1893.46,1890.22,1908.98,1920.53,1912.17,1907.26,1885.45,1904.15,1891.98,1895.25,1978.99,1911.23
2022년04월12일,1968.85,1878.37,1868.74,1898.92,1886.54,1892.61,1886.39,1906.58,1919.13,1910.07,1905.20,1883.91,1903.23,1889.38,1893.96,1971.98,1909.33
2022년04월13일,1966.62,1876.57,1866.93,1895.83,1885.45,1889.86,1884.30,1904.51,1918.21,1908.36,1903.53,1883.61,1901.97,1887.48,1892.90,1967.03,1905.55
2022년04월14일,1966.35,1875.52,1864.93,1894.40,1885.06,1888.49,1880.74,1903.31,1917.49,1906.72,1902.79,1882.56,1900.85,1886.08,1892.14,1964.35,1905.39
2022년04월15일,1964.57,1875.81,1864.62,1893.77,1885.72,1888.83,1879.33,1902.51,1916.80,1906.08,1902.13,1882.86,1901.25,1885.40,1892.05,1963.48,1904.24
2022년04월16일,1960.53,1875.46,1864.04,1893.50,1885.98,1888.67,1880.13,1901.96,1916.51,1905.71,1902.11,1882.79,1901.16,1885.28,1892.00,1963.20,1903.94
2022년04월17일,1960.83,1875.25,1864.32,1893.25,1885.56,1888.66,1879.71,1901.58,1916.23,1905.52,1901.97,1882.89,1900.95,1884.80,1891.81,1963.35,1903.94
